state,program,specialty,geographic_type,max_time_minutes,max_distance_miles,source,notes
OH,MCO,Adult Primary Care,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Adult Dental,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Allergy,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Behavioral Health,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Cardiology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Outpatient Dialysis,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,ENT/Otolaryngology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Gastroenterology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,General Surgery,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,"Gynecology, OB/GYN",,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Hospital,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Nephrology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Neurology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Oncology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Oral Surgery,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Orthopedics,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Pediatrics,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Pediatric Dentistry,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Pediatric Behavioral Health,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Podiatry,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Psychiatry,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Radiology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,SUD – Outpatient,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,SUD – Residential,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Surgical Services - Outpatient,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
OH,MCO,Urology,,,,https://medicaid.ohio.gov/providers/managed-care/exception-memo-jan2025,Exception Memo lists specialty; time/distance from MCO Agreement Table F.2 (inaccessible)
